,smiles,s1_energy,t1_energy,t2_energy,s1_cal,t1_cal,s1_t1_gap,t2_t1_gap,scscore,s1_t1_gap_score,t2_t1_gap_score,total_score
5053,Fc1cccc(-c2cnc3cc(-c4ccco4)ccc3n2)c1,3.3568,2.4054,2.9554,3.0445315550905754,2.170406844622929,-1.2962821341552837,-1.8554000000000004,3.654041993882157,0.010080701,0.0025501032,0.00507019
5054,Cc1ccc2oc(-c3cnc4cc(Br)ccc4n3)cc2c1,3.3486,2.3509,2.9552,3.0386028629225748,2.1267297025979293,-1.2148565422732838,-1.7466000000000004,3.840095877249942,0.016011352,0.0038664958,0.007868153
5055,Cc1cc(-c2cccs2)cc2ccc(=O)oc12,3.5494,2.7906,2.9106,3.1837835199145754,2.479112075962929,-1.774440632011283,-2.6706,3.2278868169917088,0.0006489917,0.00011193126,0.00026952266
5056,Cc1cc(C)c2ncc(-c3ccccc3)cc2c1,4.21,2.9808,3.6193,3.661404745058576,2.631541294552929,-1.6016778440472832,-2.3423,3.180319450043714,0.001752521,0.00039445306,0.0008314369
5057,FC(F)(F)c1ccc(-c2ccc(-c3cccs3)o2)cc1,3.6966,2.2945,3.2775,3.290210774442575,2.0815298712179287,-0.8728489679932832,-1.3115000000000006,3.190974732448791,0.10430872,0.020197846,0.045900013
5058,c1ccc(-c2ncncc2-c2cccs2)cc1,4.12545,2.92935,3.76715,3.600274144716576,2.590308469650429,-1.5803427945842827,-2.09155,3.2345364651580666,0.0019810745,0.0010318937,0.0014297755
5059,c1csc(-c2cscc2-c2ccsc2)n1,4.4882,2.9819,3.7286,3.862546472026577,2.632422851547929,-1.4022992310692826,-2.2352,3.3128863107914976,0.0055013,0.0005948511,0.0018089927
5060,Oc1cc(-c2cccs2)co1,4.4664,2.8367,3.9031,3.846784826994576,2.5160573282079293,-1.1853298294212822,-1.7703000000000002,2.2713556745016663,0.018921262,0.0035315354,0.008174418
5061,Cc1ccccc1-c1nc(-c2ccccc2F)c(C)[nH]1,4.3542,3.2669,3.6008,3.765662965866576,2.8608262547979293,-1.955989543729284,-2.9330000000000003,3.272007501620272,0.0002283236,4.0892995e-05,9.66273e-05
5062,Clc1ccc(Cl)c(-c2ccc(-c3cc4ccccc4[nH]3)cc2)c1,3.7556,2.7913,3.5111,3.3328684376025755,2.479673066777929,-1.6264776959532834,-2.0715000000000003,3.038945073902286,0.0015197268,0.001114335,0.0013013396
5063,Clc1cc(-c2ccccc2Cl)c2cc[nH]c2c1,4.3212,3.2565,3.879,3.741803594946575,2.8524915341179287,-1.963179473289283,-2.634,3.1420047766070427,0.00021906855,0.00012880836,0.00016798172
5064,O=c1c(-c2ccccc2O)coc2ccccc12,3.7862,3.1745,3.4107,3.3549925815465755,2.786775467217929,-2.2185583528892834,-2.9383000000000004,2.70962993276036,5.0374016e-05,4.0069684e-05,4.4927398e-05
5065,Cc1cccc(C)c1-c1ccc(-c2cccc(O)c2)cc1,4.8331,3.7095,4.146,4.111913048702577,3.2155327329679286,-2.3191524172332816,-3.273,3.1344814875176046,2.8231314e-05,1.1091625e-05,1.7695513e-05
